date	note	hours
2018-02-01	Courses	1.5
2018-02-01	UO/CO, interviewing	2.5
2018-02-01	FLS2771, reading	0.5
2018-02-01	HIS2326/MT, studying	1
2018-02-01	UO/CO, researching	1
2018-01-31	Courses	3
2018-01-31	UO/CO, researching	2.5
2018-01-31	HIS3108/P, researching	1
2018-01-31	HIS3108, reading	0.5
2018-01-31	POL2103/Q, studying	0.5
2018-01-30	Courses	1.5
2018-01-30	UO/CO, interviewing	1
2018-01-30	POL2508, reading	0.5
2018-01-30	UO/CO, researching	1
2018-01-29	Courses	4.5
2018-01-29	UO/CO, interviewing	1
2018-01-29	UO/CO, admin	1
2018-01-29	HIS3108, reading	1
2018-01-29	FLS2771, reading	0.5
2018-01-28	UO/CO, researching	5
2018-01-28	HIS3108, reading	0.5
2018-01-28	HIS2326, reading	0.5
2018-01-27	HIS2326/RP, researching	1
2018-01-27	HIS3108, reading	0.5
2018-01-27	HIS2326/MT, preparing	1
2018-01-27	UO/CO, researching	2
2018-01-26	Courses	1.5
2018-01-26	UO/CO, researching	3
2018-01-25	Courses	3
2018-01-25	UO/CO, researching	1.5
2018-01-24	Courses	3
2018-01-24	POL2508, reading	1
2018-01-24	HIS3108/P, researching	1
2018-01-24	POL2103/P, researching	1
2018-01-23	Courses	3
2018-01-23	UO/CO, researching	0.5
2018-01-23	POL2103, reading	1
2018-01-23	POL2508/T, researching	0.5
2018-01-23	HIS3108/P, researching	1
2018-01-22	Courses	4.5
2018-01-22	HIS3108, reading	0.5
2018-01-22	UO/CO, researching	0.5
2018-01-22	HIS2326/RP, researching	1
2018-01-21	UO/CO, writing cover letters	1
2018-01-19	Courses	1.5
2018-01-19	HIS2326, reading	1
2018-01-19	HIS3108, reading	0.5
2018-01-19	UO/CO, applying	1
2018-01-18	Courses	3
2018-01-18	FLS2771, reading	1
2018-01-18	UO/CO, applying	1
2018-01-17	Courses	3
2018-01-17	POL2508, reading	1.5
2018-01-17	UO/CO, writing cover letters	3
2018-01-16	Courses	3
2018-01-16	POL2107, reading	1.5
2018-01-16	UO/CO, applying	1
2018-01-15	UO/CO, applying	2
2018-01-15	Courses	4.5
2018-01-15	UO, planning	1
2018-01-14	HIS3108, reading	1.5
2018-01-13	HIS2326, reading	0.75
2018-01-12	POL2103, reading	1
2018-01-12	Courses	1.5
2018-01-11	Courses	3
2018-01-11	UO/CO, researching	1
2018-01-11	HIS2326, reading	0.5
2018-01-10	UO/CO, attending workshop	1.5
2018-01-10	POL2508, reading	0.5
2018-01-10	UO, planning	0.5
2018-01-10	Courses	3
2018-01-10	UO/$, applying	2
2018-01-09	Courses	3
2018-01-09	UO/CO, researching	1.5
2018-01-09	UO, planning	1
2018-01-08	Courses	4.5
